Name;Synonyme;Kategorie;Bezugseinheit;Energie, Kilojoule (kJ);Fett, total (g);Fettsäuren, gesättigt (g);Fettsäuren, einfach ungesättigt (g);Fettsäuren, mehrfach ungesättigt (g);Kohlenhydrate, verfügbar (g);Zucker (g);Nahrungsfasern (g);Protein (g);Wasser (g)
Fischstäbchen (paniert und vorfritiert), gebraten in HOLL-Rapsöl;;Fisch/Meeresfische;pro 100g essbarer Anteil;1250;18.6;1.4;12;4.3;16.6;0.1;0.9;16;48.1
Fischstäbchen (paniert und vorfritiert), im Ofen gebacken (ohne Zugabe von Fett);;Fisch/Meeresfische;pro 100g essbarer Anteil;1040;12.2;0.9;7.1;3.5;17.4;0.1;1;16.8;52.9
Fischstäbchen, paniert und vorfritiert;;Fisch/Meeresfische;pro 100g essbarer Anteil;962;11.7;0.9;6.8;3.4;15.3;0.1;0.8;15.5;56.9
Flammenkuchen, gebacken;Flammkuchen;Gerichte/Kuchen und Gratins;pro 100g essbarer Anteil;1060;13.9;6.8;4.8;1;22.7;1.8;1.4;8.9;53.3
Flammenkuchenteig, ungebacken;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Teige;pro 100g essbarer Anteil;934;2.9;1.4;0.6;0.5;39.9;0.6;2.7;7.5;47.7
Fleisch (Durchschnitt exkl. Innereien), roh ;;"Fleisch und Innereien/Kalb;Fleisch und Innereien/Geflügel;Fleisch und Innereien/Lamm, Schaf;Fleisch und Innereien/Rind;Fleisch und Innereien/Schwein;Fleisch und Innereien/Wild";pro 100g essbarer Anteil;611;6.7;2.4;2.9;0.7;0;0;0;21.4;71.9
Fleischkäse;;Fleisch- und Wurstwaren/Brühwurstware;pro 100g essbarer Anteil;1060;22.3;8.8;10.8;2;1.4;1.4;0;12.5;60.1
Fleischlasagne, zubereitet;;Gerichte/Italienische Gerichte;pro 100g essbarer Anteil;591;6;3;1.9;0.4;12.3;2.3;1.5;8.8;71.6
Flunder, Filet, gedämpft (ohne Zusatz von Fett und Salz);;Fisch/Meeresfische;pro 100g essbarer Anteil;292;0.8;0.2;0.2;0.2;0;0;0;15.5;83.7
Flunder, roh;;Fisch/Meeresfische;pro 100g essbarer Anteil;306;0.7;0.1;0.1;0.2;0;0;0;16.5;81.4
Fondue alkoholfrei, zubereitet;;Gerichte/Sonstige salzige/rezente Gerichte;pro 100g essbarer Anteil;1180;21.5;13.4;5.2;1;1.6;1;0;18.7;56.6
Fondue klassisch, zubereitet;;Gerichte/Sonstige salzige/rezente Gerichte;pro 100g essbarer Anteil;1310;22.4;13.9;5.4;1;1;0.1;0;19.6;52.2
Fondue moitié-moitié, zubereitet;;Gerichte/Sonstige salzige/rezente Gerichte;pro 100g essbarer Anteil;1210;20.8;12.5;4.9;1;1;0;0;16.7;56.5
Forelle, ganz, gekocht (ohne Zusatz von Fett und Salz);;Fisch/Süsswasserfische;pro 100g essbarer Anteil;483;6.2;1.5;2;2.2;0;0;0;15;78.8
Forelle, roh;Bachforelle;Fisch/Süsswasserfische;pro 100g essbarer Anteil;533;7;1.7;2.2;2.5;0;0;0;16;75.3
Fotzelschnitte ungezuckert;;Gerichte/Sonstige süsse Gerichte;pro 100g essbarer Anteil;930;9.9;5.1;2.6;0.9;24.5;1.7;1.2;8;56.7
Freiburger Vacherin;;Milch und Milchprodukte/Hartkäse;pro 100g essbarer Anteil;1540;30.4;18.2;7.1;1.4;0;0;0;23.5;42.3
Frischkäse, Doppelrahm;;Milch und Milchprodukte/Frischkäse und Quark;pro 100g essbarer Anteil;1450;32.1;19.2;7.5;1.5;4.5;2.3;0;11.1;52
Fruchtcocktail, in Sirup, Konserve, abgetropft;;Früchte/Früchte gekocht (inkl. Konserven);pro 100g essbarer Anteil;326;0.2;0;0;0.1;17.3;16.2;1.8;0.6;80.1
Fruchtcocktail, mit Süssungsmittel, Konserve, abgetropft;;Früchte/Früchte gekocht (inkl. Konserven);pro 100g essbarer Anteil;197;0.2;0;0;0.1;9.5;8.4;2;0.7;87.6
Früchte (Durchschnitt), gekocht (ohne Zugabe von Zucker);;Früchte/Früchte gekocht (inkl. Konserven);pro 100g essbarer Anteil;210;0.4;0.1;0;0.1;9.9;9.3;2.2;0.6;86.9
Früchte (Durchschnitt), getrocknet;"Dörrfrüchte (Durchschnitt);Früchte, gedörrt (Durchschnitt)";Früchte/Früchte getrocknet;pro 100g essbarer Anteil;1180;1.1;0.3;0.3;0.3;60.5;51.8;8.2;2.5;27.7
Früchte (Durchschnitt), roh;;Früchte/Früchte frisch;pro 100g essbarer Anteil;229;0.2;0;0;0.1;11.3;10.2;2.1;0.6;85.7
Fruchtsaft-Schorle (Durchschnitt, 60% Saft - 40% Wasser), ungezuckert;;Alkoholfreie Getränke/Frucht- und Gemüsesäfte;pro 100 ml;133;0.1;0;0;0;7.4;6.9;0.1;0.2;92.3
Fruchtsaft (Durchschnitt), ungezuckert;;"Früchte/Fruchtsäfte;Alkoholfreie Getränke/Frucht- und Gemüsesäfte";pro 100 ml;221;0.1;0;0;0;12.3;11.6;0.2;0.4;87.1
Fruchtwähe/-kuchen (Durchschnitt);;"Süssigkeiten/Kuchen, Torten und Cake;Gerichte/Kuchen und Gratins";pro 100g essbarer Anteil;695;8.4;3.9;3;1;18.3;8;2.6;3;67.8
Fruchtwähe/-kuchen mit Blätterteig (Durchschnitt);;"Süssigkeiten/Kuchen, Torten und Cake;Gerichte/Kuchen und Gratins";pro 100g essbarer Anteil;589;6.9;3;2.6;0.8;15.9;6.9;2.1;2.8;72.4
Fruchtwähe/-kuchen mit Kuchenteig (Durchschnitt);;"Süssigkeiten/Kuchen, Torten und Cake;Gerichte/Kuchen und Gratins";pro 100g essbarer Anteil;598;6.7;3;2.5;0.8;16.6;6.9;2.2;3;71.7
Fruchtwähe/-kuchen mit süssem Mürbeteig (Durchschnitt);;"Süssigkeiten/Kuchen, Torten und Cake;Gerichte/Kuchen und Gratins";pro 100g essbarer Anteil;899;11.7;5.8;3.9;1.2;22.5;10.4;3.4;3.3;59.3
Frühlingsrolle, frittiert;;Gerichte/Asiatische Gerichte;pro 100g essbarer Anteil;938;11.2;2.9;5.1;2.7;23.1;3;2.5;6.5;54.8
Fünfkornbier;;Alkoholhaltige Getränke/Bier;pro 100 ml;165;0;0;0;0;2;2;0.2;0.6;92.5
Garnele, gekocht;"Shrimp;Scampi;Crevette";Fisch/Meeresfrüchte, Krusten- und Schalentiere;pro 100g essbarer Anteil;195;0.5;0.1;0.1;0.2;1.3;0;0;9;89.2
Garnele, roh;"Shrimp;Scampi;Crevette";Fisch/Meeresfrüchte, Krusten- und Schalentiere;pro 100g essbarer Anteil;236;0.6;0.1;0.1;0.2;1.2;;0;11.4;85.5
Geflügelfleisch (Durchschnitt exkl. Innereien), roh;;Fleisch und Innereien/Geflügel;pro 100g essbarer Anteil;563;5.3;1.6;2.4;1;0.1;0;0;21.6;73.1
Geflügelfleisch mit Haut (Durchschnitt), roh;;Fleisch und Innereien/Geflügel;pro 100g essbarer Anteil;673;9;2.7;4.3;1.5;0;0;0;20;71
Geflügelfleisch ohne Haut (Durchschnitt exkl. Innereien), roh;;Fleisch und Innereien/Geflügel;pro 100g essbarer Anteil;480;2.4;0.7;1;0.6;0.1;0;0;22.9;74.6
Geflügellyoner;;Fleisch- und Wurstwaren/Brühwurstware;pro 100g essbarer Anteil;852;16.4;5.1;7.5;2.3;0.9;0.9;0;13.5;65.3
Gehacktes (Durchschnitt aus Rind, Kalb, Schwein, Poulet), gebraten (ohne Zusatz von Fett und Salz);;Fleisch und Innereien;pro 100g essbarer Anteil;690;6.6;2.5;3.1;0.6;0;0;0;26.3;67.1
Gehacktes (Durchschnitt aus Rind, Kalb, Schwein, Poulet), roh;;"Fleisch und Innereien/Kalb;Fleisch und Innereien/Rind;Fleisch und Innereien/Schwein;Fleisch und Innereien/Geflügel";pro 100g essbarer Anteil;599;6.2;2.4;3;0.6;0;0;0;21.6;72.1
Gemüse (Durchschnitt), roh;;Gemüse/Gemüse frisch;pro 100g essbarer Anteil;117;0.3;0.1;0;0.1;4;3.3;2;1.2;92.4
Gemüsegratin, gebacken;;Gerichte/Kuchen und Gratins;pro 100g essbarer Anteil;242;3.9;2.3;0.9;0.2;2.3;1.5;1.8;2.6;89.2
Gemüselasagne, zubereitet;;Gerichte/Italienische Gerichte;pro 100g essbarer Anteil;556;7.6;4.4;2;0.4;11.2;2.4;1.1;4.4;75.8
Gerstenflocken;;Brote, Flocken und Frühstückscerealien/Flocken, Kleie und Keime;pro 100g essbarer Anteil;1410;1.5;0.3;0.1;0.7;66.1;2.2;10.3;8.5;12.4
Gerstotto, gekocht;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Sonstige Getreideprodukte;pro 100g essbarer Anteil;571;2.2;0.3;1.3;0.3;24.6;1.3;1.7;3.5;68.2
Geschnetzeltes (Durchschnitt aus Rind, Kalb, Schwein, Geflügel), gebraten (ohne Zusatz von Fett und Salz);;Fleisch und Innereien;pro 100g essbarer Anteil;633;3.8;1.2;1.5;0.5;0.1;0;0;28.9;67.2
