Name;Synonyme;Kategorie;Bezugseinheit;Energie, Kilojoule (kJ);Fett, total (g);Fettsäuren, gesättigt (g);Fettsäuren, einfach ungesättigt (g);Fettsäuren, mehrfach ungesättigt (g);Kohlenhydrate, verfügbar (g);Zucker (g);Nahrungsfasern (g);Protein (g);Wasser (g)
Milchkaffee dunkel, ungezuckert;Schale;"Milch und Milchprodukte/Milch- und Joghurtgetränke;Alkoholfreie Getränke/Kaffee";pro 100 ml;65;0.9;0.5;0.2;0;1.2;1;0.1;0.7;97.1
Milchkaffee hell, ungezuckert;Schale;"Milch und Milchprodukte/Milch- und Joghurtgetränke;Alkoholfreie Getränke/Kaffee";pro 100 ml;90;1.2;0.8;0.3;0.1;1.6;1.4;0.1;1;96.1
Milchkaffee, ungezuckert;Schale;"Milch und Milchprodukte/Milch- und Joghurtgetränke;Alkoholfreie Getränke/Kaffee";pro 100 ml;81;1.1;0.7;0.3;0.1;1.4;1.3;0.1;0.9;96.5
Milchreis, zubereitet (mit teilentrahmter Milch, ohne Zugabe von Zucker);;"Süssigkeiten/Cremen und Pudding;Gerichte/Müesli und Brei";pro 100g essbarer Anteil;544;3.5;2.1;0.8;0.2;19;5.6;0.2;5.3;72
Milchreis, zubereitet (mit Vollmilch, ohne Zugabe von Zucker);;"Süssigkeiten/Cremen und Pudding;Gerichte/Müesli und Brei";pro 100g essbarer Anteil;600;5.1;3.1;1.2;0.3;19;5.6;0.2;5.1;70.6
Milchschokolade;;Süssigkeiten/Schokolade und Kakaoerzeugnisse;pro 100g essbarer Anteil;2240;31.1;19.3;10.4;1.2;56.9;55.2;1.9;6.5;1.3
Milchschokolade mit Alkoholfüllung;;Süssigkeiten/Schokolade und Kakaoerzeugnisse;pro 100g essbarer Anteil;2040;23.1;13.3;7.2;1.3;59;58.3;2.9;5.6;7.6
Milchschokolade mit Crèmefüllung (Gianduja, Nougat);;Süssigkeiten/Schokolade und Kakaoerzeugnisse;pro 100g essbarer Anteil;2390;38.3;18.2;14.8;2.9;47.6;46.4;3.4;7.9;3.7
Milchschokolade mit Mandel-Honig-Nougat;;Süssigkeiten/Schokolade und Kakaoerzeugnisse;pro 100g essbarer Anteil;2240;31.5;17.8;10;1.8;54.8;54.3;1.8;7.3;4.8
Milchschokolade mit Nüssen;;Süssigkeiten/Schokolade und Kakaoerzeugnisse;pro 100g essbarer Anteil;2370;38.2;16.4;17.2;2.6;46.1;44.4;3.2;8.8;4.3
Milchschokolade mit Weinbeeren, Nüssen und Mandeln;;Süssigkeiten/Schokolade und Kakaoerzeugnisse;pro 100g essbarer Anteil;2140;28.9;14.2;11.3;1.7;52.6;51;4.5;8.4;6.4
Minestrone;;Gerichte/Eintöpfe und Suppen;pro 100g essbarer Anteil;221;1.8;0.7;0.7;0.2;7;2.6;0.4;2;87.6
Minipic Würstchen;;Fleisch- und Wurstwaren/Rohwurstware;pro 100g essbarer Anteil;1900;39.1;15.4;18.7;3.8;0.8;0.8;0;26.1;26.4
Mirabelle, gedünstet, abgetropft (ohne Zugabe von Zucker);;Früchte/Früchte gekocht (inkl. Konserven);pro 100g essbarer Anteil;296;0.2;0;0;0;16.6;12.2;2;0.7;80.5
Mirabelle, roh;;Früchte/Früchte frisch;pro 100g essbarer Anteil;323;0.2;;;;18;13.3;2.2;0.6;78.1
Molke, süss;Süssmolke;Milch und Milchprodukte/Milch- und Joghurtgetränke;pro 100 ml;102;0.2;0.1;0.1;0;4.7;4.7;0;0.8;93.6
Morchel, gedünstet (ohne Zugabe von Fett und Salz);;Gemüse/Pilze;pro 100g essbarer Anteil;139;0.4;0.1;0;0.2;0.6;0.1;8.5;2.8;88.5
Morchel, roh;;Gemüse/Pilze;pro 100g essbarer Anteil;119;0.3;0.1;0;0.2;0.5;0.1;7;2.5;90
Mortadella;;Fleisch- und Wurstwaren/Brühwurstware;pro 100g essbarer Anteil;1300;27.3;10.2;12.4;2.8;0.8;0.8;0;16.1;55.7
Mostbröckli;;Fleisch- und Wurstwaren/Rohwurstware;pro 100g essbarer Anteil;633;1.9;0.9;0.9;0.2;0.5;0.5;0;32.6;58.4
Mozzarella;;"Milch und Milchprodukte/Weichkäse;Milch und Milchprodukte/Frischkäse und Quark";pro 100g essbarer Anteil;1060;19.5;11.4;6;0.7;0.7;0.7;0;19.5;58.8
Müeslimischung, Getreideflocken mit Früchten und Nüssen, gezuckert ;;Brote, Flocken und Frühstückscerealien/Müeslimischungen und Frühstückscerealien;pro 100g essbarer Anteil;1540;5.6;0.7;2.2;2.1;62.2;10.6;10.1;11.4;11.5
Müeslimischung, Getreideflocken mit Früchten und Nüssen, ungesüsst;;Brote, Flocken und Frühstückscerealien/Müeslimischungen und Frühstückscerealien;pro 100g essbarer Anteil;1560;8.4;1.5;3.3;2.8;57.4;11.6;10.8;11.3;13
Mürbeteig (mit Butter), süss, gebacken;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Teige;pro 100g essbarer Anteil;2210;28.6;16.3;6.9;1.9;57.3;13.2;2;9.8;3
Mürbeteig (mit Butter), süss, ungebacken;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Teige;pro 100g essbarer Anteil;1770;22.9;13.1;5.5;1.5;45.8;10.5;1.6;7.8;22.4
Mürbeteig (mit pflanzlichem Fett), süss, gebacken;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Teige;pro 100g essbarer Anteil;2070;24.9;11.2;9.8;2.8;58.4;17.8;1.9;8;7.5
Mürbeteig (mit pflanzlichem Fett), süss, ungebacken;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Teige;pro 100g essbarer Anteil;1650;19.9;9;7.9;2.2;46.7;14.2;1.5;6.4;26
Mütschli;;Brote, Flocken und Frühstückscerealien/Brote und Brotwaren;pro 100g essbarer Anteil;1080;0.8;0.2;0.1;0.4;51.8;0.7;2.5;8.7;36.8
Nasi Goreng, zubereitet;;Gerichte/Asiatische Gerichte;pro 100g essbarer Anteil;527;1.8;0.3;1.1;0.3;16.1;0.6;0.5;10.8;70.9
Nektarine, roh;;Früchte/Früchte frisch;pro 100g essbarer Anteil;231;0.3;0;0.1;0.1;11.3;8.8;1.3;1;86.1
Nussgipfel aus Blätterteig;;Süssigkeiten/Sonstige süsse Backwaren;pro 100g essbarer Anteil;1750;26.9;9.9;12.4;2.1;36.2;15.8;2.7;6.8;28.1
Nussgipfel aus Hefeteig;;Süssigkeiten/Sonstige süsse Backwaren;pro 100g essbarer Anteil;1330;12.6;3.3;6.8;1.4;41.9;18.4;2.7;7.7;35.7
Nüsslisalat, roh;"Feldsalat;Rapunzelsalat";Gemüse/Gemüse frisch;pro 100g essbarer Anteil;96;0.4;0.1;0;0.2;2;2;1.7;2;92.8
Nussschnecke aus Hefeteig;Hefeschnecke;Süssigkeiten/Sonstige süsse Backwaren;pro 100g essbarer Anteil;1860;18.7;5.7;9.6;1.9;54.9;12.9;3.8;12.2;11.4
Ofen-Frites, tiefgekühlt;Ofen-Pommes;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Kartoffeln;pro 100g essbarer Anteil;535;5;0.4;3.6;0.7;18.1;0.9;1.4;1.8;73.7
Olive, gefüllt mit Hackfleisch, frittiert;;Salzige Snacks/Sonstige salzige Snacks;pro 100g essbarer Anteil;1380;15.1;3.2;9.1;1.8;32.8;2;3.2;13.1;35.8
Olive, grün, in Salzlake, abgetropft;;Nüsse, Samen und Ölfrüchte;pro 100g essbarer Anteil;632;15.7;2.3;11.1;1.5;;;3.6;1.3;75.8
Olive, schwarz;;Nüsse, Samen und Ölfrüchte;pro 100g essbarer Anteil;722;17.2;2.1;10.2;1.5;0.8;0.8;6.2;1.4;74.9
Olivenöl;;Fette und Öle/Öle;pro 100 ml;3330;90;10.7;67.7;6.7;0;0;0;0;0
Orange, roh;Apfelsine;Früchte/Früchte frisch;pro 100g essbarer Anteil;192;0.2;;;;8;7.6;2.7;0.8;87.3
Orangeat;;Süssigkeiten/Sonstige Süssigkeiten;pro 100g essbarer Anteil;1300;0.3;0.1;0.1;0.1;74.3;74.3;2.3;0.4;21.5
Orangennektar;;"Alkoholfreie Getränke/Süssgetränke;Alkoholfreie Getränke/Frucht- und Gemüsesäfte";pro 100 ml;185;0;;;;10.5;10.5;0.1;0.4;88.2
Orangensaft;;"Früchte/Fruchtsäfte;Alkoholfreie Getränke/Frucht- und Gemüsesäfte";pro 100 ml;187;0.1;0.1;0;0;10;10;0.3;0.6;91.7
Palmöl - Palmfett;;"Fette und Öle/Öle;Fette und Öle/Fette";pro 100 ml;3330;89.9;43.9;34;8.4;0;0;0;0;1.2
Pancetta;;Fleisch- und Wurstwaren/Rohwurstware;pro 100g essbarer Anteil;1930;43;14.4;18.9;6.6;0.4;;0;19.5;33
Panettone;;Süssigkeiten/Sonstige süsse Backwaren;pro 100g essbarer Anteil;1490;10.7;5.6;3.2;0.7;56.5;22.9;2.8;6.4;26.9
Paniermehl;Semmelmehl;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Mehle und Stärke;pro 100g essbarer Anteil;1580;2.1;0.5;0.3;0.7;73.5;4.4;4.5;12.7;6.8
Pantli;;Fleisch- und Wurstwaren/Rohwurstware;pro 100g essbarer Anteil;2280;51.4;20.1;24.4;4.4;0.9;0.9;0;21.7;26
Papaya, reif, roh;;Früchte/Früchte frisch;pro 100g essbarer Anteil;188;0.1;0;0;0;9.5;9.5;1.8;0.5;87.9
Paprika (Gewürz);;Verschiedenes/Salz, Gewürze und Aromen;pro 100g essbarer Anteil;1490;13;2.1;1.2;8.4;34.9;33.2;20.9;14.8;9.3
Paranuss;;Nüsse, Samen und Ölfrüchte;pro 100g essbarer Anteil;2880;66.5;16.1;23.9;24.4;4.2;2.3;7.5;17;3.4
Pariserbrot;"Baguette;Parisette";Brote, Flocken und Frühstückscerealien/Brote und Brotwaren;pro 100g essbarer Anteil;1080;0.9;0.2;0.1;0.5;51.2;0.5;2.9;9;36.8
Parmesan;Parmiggiano;Milch und Milchprodukte/Hartkäse;pro 100g essbarer Anteil;1670;31;20.6;7.2;1;;;0;30.5;31.4
Passionsfrucht, roh;Maracuja;Früchte/Früchte frisch;pro 100g essbarer Anteil;426;3;0.5;0.5;1.8;10.9;8.5;6.8;2.1;73.6
Pastinake, gekocht (ohne Zugabe von Salz);;Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;247;0.4;0.1;0;0.2;11.4;2.9;2.1;1.2;84.9
Pastinake, roh;;Gemüse/Gemüse frisch;pro 100g essbarer Anteil;260;0.4;0.1;0;0.3;12.1;3.1;2.1;1.3;79.8
Peperoni, grün, gedünstet (ohne Zugabe von Fett und Salz);;Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;104;0.4;0.1;0;0.2;3.2;3.1;2.5;1;93
Peperoni, grün, roh;;Gemüse/Gemüse frisch;pro 100g essbarer Anteil;85;0.3;0.1;0;0.2;2.6;2.5;2;0.8;92.9
Peperoni, rot, gedünstet (ohne Zugabe von Fett und Salz);;Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;163;0.4;0.1;0;0.2;6.4;6.2;2.5;1.1;89.6
Peperoni, rot, roh;;Gemüse/Gemüse frisch;pro 100g essbarer Anteil;133;0.4;0.1;0;0.1;5.2;5.1;2;0.9;91.3
Pestosauce, grün;;Verschiedenes/Saucen;pro 100g essbarer Anteil;1770;42.5;6.5;16.6;17.6;6.6;3.2;2.5;3.9;39
Pestosauce, rot;;Verschiedenes/Saucen;pro 100g essbarer Anteil;1650;35.8;5;15.1;13.6;10.8;7.1;5;5.7;38.7
Petersilie, roh;Peterli;Gemüse/Kräuter;pro 100g essbarer Anteil;245;0.5;0.1;0;0.2;7.4;4.8;4.3;3.9;82.1
Petit Beurre;;Süssigkeiten/Guetzli;pro 100g essbarer Anteil;1820;12.4;7.1;2.8;1;70.2;20.6;2.3;8.7;7.2
Petit Beurre mit Schokolade;;Süssigkeiten/Guetzli;pro 100g essbarer Anteil;2020;21.3;12.9;6.5;1.1;63.8;37.2;2.1;7.7;5.5
Petit Beurre, Vollkorn;;Süssigkeiten/Guetzli;pro 100g essbarer Anteil;1790;12.7;7.1;2.8;1.4;65.3;17.3;6;9.6;7.1
Pfefferminze, roh;;Gemüse/Kräuter;pro 100g essbarer Anteil;205;0.7;0.1;0;0.4;5.3;5.2;3;3.8;86.1
Pferd, Filet, gebraten (ohne Zusatz von Fett und Salz);;Fleisch und Innereien/Sonstige Tierarten;pro 100g essbarer Anteil;547;2;0.9;0.9;0.1;0;0;0;27.8;70.2
Pferd, Filet, roh;;Fleisch und Innereien/Sonstige Tierarten;pro 100g essbarer Anteil;433;1.9;0.9;0.8;0.1;0;0;0;21.4;74.8
Pferderagout mit Sauce, zubereitet;Voressen;Gerichte/Sonstige salzige/rezente Gerichte;pro 100g essbarer Anteil;372;3.1;0.6;2;0.3;3;1.2;0.6;11.8;81.5
Pfirsich, gelb, roh;;Früchte/Früchte frisch;pro 100g essbarer Anteil;183;0.1;0;0;0;8.9;8;1.9;0.8;87.3
Pfirsich, in Sirup, Konserve, abgetropft;;Früchte/Früchte gekocht (inkl. Konserven);pro 100g essbarer Anteil;346;0.1;0;0;0;18.6;17.9;1.6;0.7;78.9
Pfirsich, mit Süssungsmittel, Konserve, abgetropft;;Früchte/Früchte gekocht (inkl. Konserven);pro 100g essbarer Anteil;170;0.1;0;0;0.1;8.1;7.3;1.7;0.8;89.2
Pflaume, gedünstet, abgetropft (ohne Zugabe von Zucker);;Früchte/Früchte gekocht (inkl. Konserven);pro 100g essbarer Anteil;203;0.2;0;0;0.1;10.1;8.6;1.6;0.7;87.5
Pflaume, getrocknet;"Dörrpflaume;Backpflaume";Früchte/Früchte getrocknet;pro 100g essbarer Anteil;958;0.4;0.2;0.1;0.1;55.4;38.1;5.1;1.6;34.9
Pflaume, roh;;Früchte/Früchte frisch;pro 100g essbarer Anteil;203;0.2;0;0;0.1;10.2;8.8;1.6;0.6;83.7
Pflaumenkuchen, hausgemacht, gebacken (mit Blätterteig);Pflaumenwähe;"Süssigkeiten/Kuchen, Torten und Cake;Gerichte/Kuchen und Gratins";pro 100g essbarer Anteil;594;6.8;3;2.6;0.8;16.9;7.6;1.4;2.6;72.4
Pflaumenkuchen, hausgemacht, gebacken (mit Kuchenteig);;"Süssigkeiten/Kuchen, Torten und Cake;Gerichte/Kuchen und Gratins";pro 100g essbarer Anteil;603;6.6;2.9;2.5;0.8;17.6;7.6;1.5;2.9;71.6
Pilz (Durchschnitt), gedünstet (ohne Zugabe von Fett und Salz);;Gemüse/Pilze;pro 100g essbarer Anteil;142;0.4;0.1;0;0.2;0.7;0.2;6;3.9;90.2
Pilz (Durchschnitt), roh;;Gemüse/Pilze;pro 100g essbarer Anteil;122;0.4;0.1;0;0.2;0.6;0.2;4.9;3.5;91.7
Pilzrisotto, zubereitet;;Gerichte/Sonstige salzige/rezente Gerichte;pro 100g essbarer Anteil;538;3.9;1.9;1.4;0.3;18.5;0.5;1.5;4;72.4
Pilzsauce, gebunden;;Verschiedenes/Saucen;pro 100g essbarer Anteil;547;8.9;5.4;2.1;0.5;8.5;4;0.7;3.9;78.1
Pilzsuppe;;Gerichte/Eintöpfe und Suppen;pro 100g essbarer Anteil;160;1.2;0.5;0.2;0.5;5.5;2;0.5;1.1;90.2
Pinienkerne;;Nüsse, Samen und Ölfrüchte;pro 100g essbarer Anteil;2840;61.9;4.3;15.7;25.7;13;4.9;6.3;16.5;2.2
Pistazie;;Nüsse, Samen und Ölfrüchte;pro 100g essbarer Anteil;2460;45.4;5.6;23.8;13.7;17.6;7.7;10;23.8;3.9
Pizza al tonno, gebacken;Pizza mit Thon;Gerichte/Italienische Gerichte;pro 100g essbarer Anteil;948;7.6;3;3.4;0.6;26.5;1.3;1.5;12;52.7
Pizza Calzone, gebacken;;Gerichte/Italienische Gerichte;pro 100g essbarer Anteil;940;7.7;3;3.5;0.6;26.5;1.4;1.5;11.4;53.2
Pizza Hawaii, gebacken;;Gerichte/Italienische Gerichte;pro 100g essbarer Anteil;819;6.3;2.5;2.9;0.5;24.2;3.5;1.5;9.5;58.7
Pizza Margherita, gebacken;;Gerichte/Italienische Gerichte;pro 100g essbarer Anteil;1000;8.4;3.3;3.8;0.7;29.9;1.5;1.7;9.9;50.4
Pizza mit Gemüse, gebacken;;Gerichte/Italienische Gerichte;pro 100g essbarer Anteil;527;3.2;1.2;1.4;0.4;17.5;1.6;2;5.7;72.1
Pizza mit Mascarpone und Rucola, gebacken;;Gerichte/Italienische Gerichte;pro 100g essbarer Anteil;1000;9.8;4.4;4;0.7;27.6;1.7;1.6;9.4;51.9
Pizza Prosciutto e Funghi, gebacken;Pizza mit Schinken und Pilzen;Gerichte/Italienische Gerichte;pro 100g essbarer Anteil;857;6.9;2.7;3.1;0.6;23.9;1.3;1.6;10.7;57.3
Pizza Prosciutto, gebacken;Pizza mit Schinken;Gerichte/Italienische Gerichte;pro 100g essbarer Anteil;917;6.4;2.2;3.2;0.6;28.7;1.4;1.6;10.6;53.1
Pizza Quattro Formaggi, gebacken;;Gerichte/Italienische Gerichte;pro 100g essbarer Anteil;1250;10.6;5;3.9;0.8;37.2;0.2;1.8;12.3;38.6
Pizzateig (mit Olivenöl), ungebacken;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Teige;pro 100g essbarer Anteil;967;3.6;0.5;2.2;0.6;41.2;0.2;2;7;46.8
Plätzli (Durchschnitt aus Geflügel, Kalb, Rind, Schwein), gebraten (ohne Zusatz von Fett und Salz);;Fleisch und Innereien;pro 100g essbarer Anteil;611;3.1;1.1;1.4;0.4;0.1;0;0;29.2;67.7
Plätzli (Durchschnitt aus Rind, Kalb, Schwein, Geflügel), paniert, gebraten;"Fleisch paniert;Schnitzel, paniert";"Fleisch und Innereien/Geflügel;Fleisch und Innereien/Kalb;Fleisch und Innereien/Rind;Fleisch und Innereien/Schwein";pro 100g essbarer Anteil;976;10.8;1.7;6.8;1.5;10.1;0.5;0.6;23.5;55.2
Plätzli (Durchschnitt aus Rind, Kalb, Schwein, Geflügel), roh ;;"Fleisch und Innereien/Kalb;Fleisch und Innereien/Rind;Fleisch und Innereien/Schwein;Fleisch und Innereien/Geflügel";pro 100g essbarer Anteil;478;2.7;0.9;1.2;0.4;0.1;0;0;22.2;75.1
Polenta nera (aus Maisgriess und Buchweizenmehl), gekocht;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Mais;pro 100g essbarer Anteil;466;4.7;2.7;1.2;0.3;12.6;0.2;0.8;4.1;77.7
Pommes Chips;;Salzige Snacks/Chips;pro 100g essbarer Anteil;2240;34.8;3.5;28.6;1.6;49.3;2.5;3.8;4.9;7.2
Pommes Chips fettreduziert;;Salzige Snacks/Chips;pro 100g essbarer Anteil;1960;22.1;2.5;5.9;12.3;59.2;3;4.5;5.9;8.3
Pommes Frites (im Ofen gebacken), ungesalzen;Ofen-Pommes;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Kartoffeln;pro 100g essbarer Anteil;972;9.1;0.7;6.6;1.2;33;1.6;2.5;3.3;52.1
Pommes Frites (in HO Sonnenblumenöl frittiert), ungesalzen;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Kartoffeln;pro 100g essbarer Anteil;1200;15.4;1.6;12.6;0.7;32.4;1.6;2.5;3.2;46.5
Popcorn;Puffmais;Salzige Snacks/Sonstige salzige Snacks;pro 100g essbarer Anteil;1550;4.2;0.6;1.1;1.9;62.9;1.2;15;12;4.1
Portwein, 18.5 vol%;Porto;Alkoholhaltige Getränke/Wein;pro 100 ml;636;0;0;0;0;12;12;0;0.2;72.3
Poulet, Brust, mit Haut, roh;;Fleisch und Innereien/Geflügel;pro 100g essbarer Anteil;637;6.5;2.1;3.3;1.3;0;0;0;23.3;69.9
Poulet, Brust, ohne Haut, roh;Pouletschnitzel;Fleisch und Innereien/Geflügel;pro 100g essbarer Anteil;455;1;0.3;0.4;0.3;0;0;0;24.6;72.7
Poulet, Brust, Schnitzel oder Geschnetzeltes, gebraten (ohne Zusatz von Fett und Salz);;Fleisch und Innereien/Geflügel;pro 100g essbarer Anteil;542;0.8;0.2;0.3;0.2;0;0;0;30.1;69.1
Poulet, ganz, mit Haut, gebraten (ohne Zusatz von Fett und Salz);;Fleisch und Innereien/Geflügel;pro 100g essbarer Anteil;807;10.3;2.8;4.5;1.5;0;0;0;25.1;64.6
Poulet, ganz, mit Haut, roh;;Fleisch und Innereien/Geflügel;pro 100g essbarer Anteil;701;10.3;2.8;4.5;1.5;0;0;0;18.8;69.8
Poulet, Schenkel, mit Haut, gebraten (ohne Zusatz von Fett und Salz);;Fleisch und Innereien/Geflügel;pro 100g essbarer Anteil;783;10.2;3.2;5;1.8;0;0;0;23.9;65.9
Poulet, Schenkel, mit Haut, roh;;Fleisch und Innereien/Geflügel;pro 100g essbarer Anteil;682;10.2;3.2;5;1.8;0;0;0;17.9;68.9
Poulet, Schenkel, ohne Haut, roh;;Fleisch und Innereien/Geflügel;pro 100g essbarer Anteil;564;6.2;1.9;3;1.5;0;0;0;19.7;72.9
Preiselbeere, roh;Moosbeere;Früchte/Früchte frisch;pro 100g essbarer Anteil;153;0.5;0;0.1;0.3;6.2;6.1;2.9;0.3;88.4
Prussien;Palmiers;Süssigkeiten/Guetzli;pro 100g essbarer Anteil;1830;22.4;13.2;5.2;1.3;53.8;27.4;1.2;4.7;18.3
Pudding, Caramel;Flan;Süssigkeiten/Cremen und Pudding;pro 100g essbarer Anteil;527;2.1;1.4;0.6;0.1;23;20.1;0.1;3.4;69.3
Pudding, Schokolade;Flan;Süssigkeiten/Cremen und Pudding;pro 100g essbarer Anteil;511;2.6;0.5;1.1;0.9;21;12.1;1;3;71.2
Pudding, Vanille;Flan;Süssigkeiten/Cremen und Pudding;pro 100g essbarer Anteil;429;2.1;0.3;0.9;0.8;18;10.4;0.1;2.8;76.2
Quark, mit Früchten, gezuckert;;Milch und Milchprodukte/Frischkäse und Quark;pro 100g essbarer Anteil;471;2.4;1.4;0.6;0.1;14.1;13.4;0.1;8.4;74.5
Quark, nature, halbfett;;Milch und Milchprodukte/Frischkäse und Quark;pro 100g essbarer Anteil;415;5;3;1.2;0.2;4.1;3.4;0;9.4;81.3
Quark, nature, mager;;Milch und Milchprodukte/Frischkäse und Quark;pro 100g essbarer Anteil;257;0.2;0.1;0;0;4.2;3.5;0;10.6;83.8
Quark, nature, Rahm;;Milch und Milchprodukte/Frischkäse und Quark;pro 100g essbarer Anteil;758;15.6;9.4;3.7;0.7;3.7;3.2;0;6.9;72.8
Quarkblätterteig (mit Butter), ungebacken;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Teige;pro 100g essbarer Anteil;1670;28.3;16.8;6.6;1.6;29;1.3;1.3;7.1;34.8
Quarkblätterteig (mit pflanzlichem Fett), ungebacken;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Teige;pro 100g essbarer Anteil;1610;26.9;9.7;11.6;4.4;28.8;1.2;1.3;7.1;36.4
Quiche Lorraine, gebacken (mit Blätterteig);;Gerichte/Kuchen und Gratins;pro 100g essbarer Anteil;1210;23.4;12.5;6.6;1.5;11.5;1.6;0.5;8.5;56.4
Quiche Lorraine, gebacken (mit Kuchenteig);;Gerichte/Kuchen und Gratins;pro 100g essbarer Anteil;1230;22.2;11.7;6.3;1.5;14.5;1.6;0.6;9;53.9
Quinoa, gekocht (ohne Zugabe von Salz und Fett);;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Sonstige Getreideprodukte;pro 100g essbarer Anteil;505;1.6;0.2;0.4;0.8;20.5;0.6;2.2;4.8;71
Quinoa, roh;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Sonstige Getreideprodukte;pro 100g essbarer Anteil;1550;5;0.5;1.3;2.6;62.4;1.8;6.6;14.8;12.6
Quitte, gekocht, abgetropft (ohne Zugabe von Zucker);;Früchte/Früchte gekocht (inkl. Konserven);pro 100g essbarer Anteil;203;0.6;0;0.2;0.3;7.3;7.3;5.9;0.5;85.6
Quitte, roh;;Früchte/Früchte frisch;pro 100g essbarer Anteil;197;0.5;0;0.2;0.2;7.3;7.3;5.9;0.4;84.5
Raclettekäse;;Milch und Milchprodukte/Hartkäse;pro 100g essbarer Anteil;1480;27.9;16.7;6.5;1.3;0;0;0;25.9;41.4
Radieschen, roh;;Gemüse/Gemüse frisch;pro 100g essbarer Anteil;72;0.1;0;0;0.1;2.1;2.1;1.6;1.1;94.4
Rahm (Durchschnitt);;"Fette und Öle/Rahm;Milch und Milchprodukte/Rahm und Butter";pro 100g essbarer Anteil;1040;25.4;15.3;6;1.2;3.4;3.4;0;2.3;68.8
Rahmglace, Frucht;Rahmeis;Süssigkeiten/Glacen auf Milchbasis;pro 100g essbarer Anteil;775;8;5;2.6;0.3;24.7;23.7;0;3.5;59.8
Rahmkaramellen;Rahmbonbons;Süssigkeiten/Bonbons, Frucht- und Kaugummi;pro 100g essbarer Anteil;1490;3.6;2.2;1.1;0.1;79.3;79.3;0;0.4;16
Rande, gedämpft (ohne Zugabe von Salz);Rote Beete;Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;228;0.1;0;0;0.1;10;10;3;1.8;85.1
Rande, roh;Rote Beete;Gemüse/Gemüse frisch;pro 100g essbarer Anteil;192;0.1;0;0;0.1;8.4;8.4;2.5;1.5;85.1
Rapsöl;;Fette und Öle/Öle;pro 100 ml;3330;90;6.2;54.2;25.5;0;0;0;0;0
Rapsöl HOLL (high oleic, low linolenic);;Fette und Öle/Öle;pro 100 ml;3330;90;6.3;68.4;10.8;0;0;0;0;0
Ratatouille, zubereitet;;Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;189;2.2;0.3;1.4;0.3;4;3.6;2.1;1.4;90.3
Reblochon;;Milch und Milchprodukte/Weichkäse;pro 100g essbarer Anteil;1270;25.2;15.1;5.9;1.2;0;0;0;19.9;51.7
Reh (Durchschnitt), roh;;Fleisch und Innereien/Wild;pro 100g essbarer Anteil;512;3.6;1.6;1.5;0.2;0;0;0;22.4;72.9
Reh, Ragout, roh;Rehpfeffer;Fleisch und Innereien/Wild;pro 100g essbarer Anteil;444;1.9;0.5;0.3;0.5;0;0;0;22;74
Reh, Schnitzel, roh;;Fleisch und Innereien/Wild;pro 100g essbarer Anteil;445;1.7;0.7;0.5;0.5;0;0;0;22.5;72.5
Reibkäse;;Milch und Milchprodukte/Hartkäse;pro 100g essbarer Anteil;1680;32.1;20.3;7.5;1.2;0;0;0;29.3;38.1
Reis parboiled, gekocht in Salzwasser (unjodiert);;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Reis;pro 100g essbarer Anteil;510;0.3;0.1;0.1;0.1;26.7;0.1;0.4;2.4;70.2
Reis parboiled, trocken;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Reis;pro 100g essbarer Anteil;1510;1;0.2;0.3;0.3;78.6;0.4;1.3;7.5;11.3
Reis poliert, gekocht in Salzwasser (unjodiert);;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Reis;pro 100g essbarer Anteil;491;0.3;0.1;0.1;0.1;25.8;0.1;0.3;2.3;71.4
Reis poliert, trocken;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Reis;pro 100g essbarer Anteil;1490;0.9;0.2;0.3;0.3;78;0.2;1;7.4;12.3
Reis unpoliert, gekocht in Salzwasser (unjodiert);Vollkornreis;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Reis;pro 100g essbarer Anteil;532;1;0.2;0.3;0.3;25.7;0.2;1.8;2.7;69
